2008fp   0.563276644355      0.1686   1.03766766785	  0.0057     31.9688614   1.01677277
2007af   0.17798010157       0.0338   1.10674522878	  0.0055     31.89096241  0.98159744
2007ca   0.366734841163      0.057    1.03505612533	  0.0141     33.94969685  1.01815213
2008hv   0.0457053741157     0.0279   1.1644361504	  0.0126     33.70294626  0.95403306
2006hx   0.200216934852      0.0256   1.06439350788	  0.0455     36.54492451  1.00286866
2007A    0.213510606548      0.0631   1.05269678919	  0.0177     34.44946399  1.0089068 
2008bc   -0.0100019581577    0.2251   1.08470061096	  0.0151     34.10015482  0.99255552
2007le   0.367834911599      0.0287   1.02116283504	  0.0067     32.32155046  1.02555364
2008gp   0.018695095674      0.1042   1.0136658136	  0.0334     35.85411864  1.02959248
2006bt   0.263565743764      0.0424   1.08261936201	  0.0322     35.77271511  0.99360274
2007bd   -0.0184648966753    0.0289   1.26566174615	  0.0309     35.68111125  0.90923356
2005el   -0.117209378564     0.0976   1.39901171082	  0.01491    34.07234142  0.85626473
2006ax   -0.0139033530438    0.041    1.04436141144	  0.016739   34.32664757  1.01325429
2004eo   0.0879333445471     0.093    1.32204216393	  0.015701   34.18590844  0.88605906
2005kc   0.331472374948      0.1137   1.11968405482	  0.01512    34.10306239  0.97527768
2004ef   0.145521515227      0.0458   1.32998332762	  0.030985   35.68721489  0.88288951
2005ki   -0.0767389218893    0.0267   1.35795836082	  0.019207   34.6293962   0.87190227
2004ey   -0.0316851243674    0.1197   1.06920824418	  0.015786   34.19777398  1.00040412
2006kf   -0.000582560561126  0.2097   1.50873397591	  0.0213     34.85746082  0.81709769
2006et   0.265848909701      0.0165   0.879975150372  0.0226     34.98825145  1.10736018
2008ia   0.0258807178408     0.1954   1.33979318301	  0.0217     34.89852235  0.87900529
2007S    0.539959793489      0.0224   0.811970450858  0.0139     33.91834124  1.15160636
2005am   0.0366491097623     0.0433   1.48342384989	  0.007899   32.68105927  0.8258112 
2005iq   -0.0462962574263    0.0185   1.28009039849	  0.034043   35.89656921  0.90318818
2005M    0.108394882307      0.0273   0.79974535093	  0.022012   34.93003642  1.15993809
2006bh   -0.054471005959     0.0228   1.41601747248	  0.010847   33.37470407  0.84995019
