SN 2006bt  853.74   17.740 017 17.088 008 17.139 008 17.371 008 17.253 010 17.117 010
SN 2006bt  855.78 a 17.642 010 16.990 005 17.021 005 17.266 005 17.163 006 17.002 006
SN 2006bt  858.75   17.709 026 16.940 006 16.941 007 17.256 008 17.145 008 16.940 007
SN 2006bt  861.77   17.952 021 16.995 006 16.937 005 17.272 008 17.232 008 16.947 007
SN 2006bt  862.73   18.073 021 17.037 007 16.947 007 17.291 008 17.290 008 16.965 008
SN 2006bt  866.69   18.543 049 17.251 008 17.040 008 17.390 010 17.537 012 17.098 008
SN 2006bt  867.75   18.569 061 17.321 010 17.075 008 17.412 012 17.632 014 17.130 008
SN 2006bt  870.77   19.089 163 17.550 010 17.207 008 17.530 012 17.911 018 17.308 010
SN 2006bt  871.71   19.224 085 17.666 008 17.244 008 17.545 010 18.028 016 17.375 008
SN 2006bt  872.74   19.262 065 17.764 010 17.299 008 17.561 010 18.119 014 17.450 008
SN 2006bt  886.65 a 20.522 049 18.940 006 17.900 004 17.784 004 19.374 012 18.359 006
SN 2006bt  890.68   20.614 217 19.101 014 18.082 021 18.021 017 19.572 026 18.574 043
SN 2006bt  891.70   20.652 189 19.184 017 18.169 010 18.030 010 19.633 035 18.601 016
SN 2006bt  893.68 a 20.681 143 19.242 012 18.234 005 18.141 006 19.653 029 18.668 010
SN 2006bt  894.64 a 20.661 179 19.270 017            18.189 008 19.702 030 18.710 014
SN 2006bt  897.58 a 20.821 164 19.383 036 18.366 008 18.298 008 19.756 040 18.786 017
SN 2006bt  898.61 a 21.233 211 19.357 014 18.421 007 18.363 008 19.737 032 18.807 012
SN 2006hx 1012.65                                               18.352 043 18.470 073
SN 2006hx 1013.65   18.649 056 18.193 020 18.371 033 18.080 028 18.291 029 18.671 070
SN 2006hx 1028.71   18.964 035 17.789 018 17.579 018 18.016 030 17.864 014 17.904 055
SN 2006hx 1036.68   20.044 067 18.421 017 18.000 017 18.416 043 18.633 018 18.371 070
SN 2006hx 1040.65   20.536 145 18.715 021 18.098 025 18.530 040 19.123 034 18.791 107
SN 2006hx 1049.62              20.247 137 18.517 043 18.646 056 20.349 055 19.174 071
SN 2006hx 1052.69              20.182 055 18.675 033 18.473 029 20.097 058 19.572 117
SN 2006hx 1066.67              20.645 079 19.321 048 19.173 056                      
SN 2006hx 1080.59              21.409 211 19.859 059 19.207 073                      
SN 2007A  1108.53   16.528 012 16.017 010 15.883 008 16.098 007 16.096 012 15.946 007
SN 2007A  1110.53              15.876 010 15.795 008 16.073 014 16.039 010 15.828 010
SN 2007A  1110.53                                                          15.827 007
SN 2007A  1112.52   16.455 014 15.821 008 15.722 006 16.125 008 15.967 008 15.726 008
SN 2007A  1119.53                         15.817 007 16.366 008 16.178 007 15.841 005
SN 2007A  1121.53                         15.901 008 16.500 008 16.309 007 15.904 006
SN 2007A  1123.52   17.366 037 16.221 022 16.060 008 16.678 012                      
SN 2007A  1127.53                                    16.962 014 16.788 017 16.268 012
SN 2007A  1128.53              16.580 018 16.399 010 16.988 016                      
SN 2007A  1131.52                                               17.327 042 16.516 018
SN 2007A  1133.52              16.992 033 16.489 012 16.909 017            16.574 017
SN 2007af 1165.77   14.670 008 13.991 010 13.969 008 14.233 006 14.071 006 14.034 006
SN 2007af 1166.78   14.432 008 13.826 007 13.800 005 14.049 006 13.889 006 13.856 005
SN 2007af 1169.85   14.031 008 13.404 006 13.422 006 13.736 008 13.478 006 13.445 006
SN 2007af 1170.80   13.960 008 13.333 006 13.362 007 13.694 008 13.407 007 13.367 008
SN 2007af 1171.86                         13.302 010 13.679 010 13.345 007 13.299 008
SN 2007af 1171.86                         13.296 007                                 
SN 2007af 1172.86                         13.263 008 13.697 010 13.300 008 13.242 008
SN 2007af 1174.83   13.943 008 13.187 007 13.228 008 13.764 010 13.280 007 13.210 008
SN 2007af 1178.76   14.209 008 13.284 008 13.228 007 13.900 008 13.425 008           
SN 2007af 1179.82   14.334 008 13.329 008 13.282 008 13.961 010 13.487 006 13.254 008
SN 2007af 1181.80   14.562 008 13.426 007 13.369 008 14.052 010 13.632 006 13.323 007
SN 2007af 1182.77   14.685 008 13.493 008 13.422 010 14.134 010 13.716 008 13.353 008
SN 2007af 1185.81   15.065 008 13.715 006 13.653 006 14.383 006 14.022 006 13.524 007
SN 2007af 1190.76   15.730 008 14.181 006 13.882 005 14.442 006 14.607 007 13.849 006
SN 2007af 1194.78   16.218 012 14.560 007 13.961 006 14.349 008 15.063 006 14.102 008
SN 2007af 1197.78   16.551 012 14.840 006 14.035 006 14.303 008 15.334 006 14.270 007
SN 2007af 1199.72   16.689 014 14.998 007 14.091 007 14.287 008 15.497 007 14.374 008
SN 2007af 1202.82   16.902 012 15.260 008 14.227 007 14.315 008 15.737 008 14.571 008
SN 2007af 1204.83   17.038 014            14.360 008 14.406 010 15.875 008 14.720 007
SN 2007af 1207.75   17.206 014 15.598 008 14.592 008 14.632 010 16.044 008 14.929 008
SN 2007af 1211.77   17.362 017 15.794 006 14.857 006 14.905 006 16.240 008 15.153 007
SN 2007af 1213.73   17.417 017 15.867 008 14.942 007 15.014 008 16.308 008 15.240 008
